SKU;Producto;Categoria;Tipo Presentacion;Formato;Unidad
E03611;Aceite;;;;
E02151;Manzanilla;Especias;Ristra;10x6 gr;multipack
E01851;Flor Jamaica;Especias;Ristra;10x8 gr;multipack
E00551;Anis dulce;Especias;Ristra;10x10gr;multipack
E00651;Anis estrellado;Especias;Ristra;10x10gr;multipack
E00851;Canela entera;Especias;Ristra;10x10gr;multipack
E01151;Clavos dulces;Especias;Ristra;10x10 gr;multipack
E01451;Comino entero;Especias;Ristra;10x10 gr;multipack
E02051;Laurel;Especias;Ristra;10x10 gr;multipack
E02251;Nuez Moscada;Especias;Ristra;10x10 gr;multipack
E02351;Onoto entero;Especias;Ristra;10x10 gr;multipack
E02451;Oregano;Especias;Ristra;10x10 gr;multipack
E00151;Adobo;Especias;Ristra;10x18 gr;multipack
E00251;Ajinomoto;Especias;Ristra;10x18 gr;multipack
E00351;Ajo en polvo;Especias;Ristra;10x18 gr;multipack
E00451;Ajo,Cebolla,Perejil;Especias;Ristra;10x18 gr;multipack
E00951;Canela molida;Especias;Ristra;10x18gr;multipack
E01051;Carmencita;Especias;Ristra;10x18 gr;multipack
E01251;Color onoto molido;Especias;Ristra;10x18 gr;multipack
E01551;Cubito;Especias;Ristra;10x18 gr;multipack
E01651;Curcuma;Especias;Ristra;10x18 gr;multipack
E01751;Curry;Especias;Ristra;10x18 gr;multipack
E01951;Jengibre;Especias;Ristra;10x18 gr;multipack
E02551;Oregano molido;Especias;Ristra;10x18 gr;multipack
E02651;Paprika(pimento picante);Especias;Ristra;10x18 gr;multipack
E02751;Paprika(primento dulce);Especias;Ristra;10x18 gr;multipack
E02851;Pimienta Blanca molida;Especias;Ristra;10x18 gr;multipack
E02951;Pimienta Guayabita;Especias;Ristra;10x18 gr;multipack
E03051;Pimienta negra entera;Especias;Ristra;10x18gr;multipack
E03151;Pimienta negra molida;Especias;Ristra;10x18 gr;multipack
E03351;Sabroseador;Especias;Ristra;10x18 gr;multipack
E03451;Salsa para pasta;Especias;Ristra;10x18 gr;multipack
E00751;Bicarbonato;Especias;Ristra;10x25 gr;multipack
E02161;Manzanilla;Especias;Bolsa Individual;6 gr;gr
E01861;Flor Jamaica;Especias;Bolsa Individual;8 gr;gr
E00561;Anis dulce;Especias;Bolsa Individual;10 gr;gr
E00661;Anis estrellado;Especias;Bolsa Individual;10 gr;gr
E00861;Canela entera;Especias;Bolsa Individual;10 gr;gr
E01161;Clavos dulces;Especias;Bolsa Individual;10 gr;gr
E01461;Comino entero;Especias;Bolsa Individual;10 gr;gr
E02061;Laurel;Especias;Bolsa Individual;10 gr;gr
E02261;Nuez Moscada;Especias;Bolsa Individual;10 gr;gr
E02361;Onoto entero;Especias;Bolsa Individual;10 gr;gr
E02461;Oregano;Especias;Bolsa Individual;10 gr;gr
E02961;Pimienta Guayabita;Especias;Bolsa Individual;10 gr;gr
E03061;Pimienta negra entera;Especias;Bolsa Individual;10 gr;gr
E00161;Adobo;Especias;Bolsa Individual;18 gr;gr
E00261;Ajinomoto;Especias;Bolsa Individual;18 gr;gr
E00361;Ajo en polvo;Especias;Bolsa Individual;18 gr;gr
E00461;Ajo,Cebolla,Perejil;Especias;Bolsa Individual;18 gr;gr
E00961;Canela molida;Especias;Bolsa Individual;18 gr;gr
E01061;Carmencita;Especias;Bolsa Individual;18 gr;gr
E01261;Color onoto molido;Especias;Bolsa Individual;18 gr;gr
E01561;Cubito;Especias;Bolsa Individual;18 gr;gr
E01661;Curcuma;Especias;Bolsa Individual;18 gr;gr
E01761;Curry;Especias;Bolsa Individual;18 gr;gr
E01961;Jengibre;Especias;Bolsa Individual;18 gr;gr
E02561;Oregano molido;Especias;Bolsa Individual;18 gr;gr
E02661;Paprika(pimento picante);Especias;Bolsa Individual;18 gr;gr
E02761;Paprika(primento dulce);Especias;Bolsa Individual;18 gr;gr
E02861;Pimienta Blanca molida;Especias;Bolsa Individual;18 gr;gr
E03161;Pimienta negra molida;Especias;Bolsa Individual;18 gr;gr
E03361;Sabroseador;Especias;Bolsa Individual;18 gr;gr
