ADHABILITACION                	ADICIONAL HABILITACION INSAI	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
7592418002040                 	ADOBO 10x12x50 G	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
ADOKG                         	ADOBO 12X1KG EL LAGO	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
AGENA                         	AGENTE ADUANAL	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
AJOKG                         	AJO EN POLVO 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592410001423                 	AJO EN POLVO PURO 10x12x50 G	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592640001780                 	ALPISTE 24x5000 GR	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
ALP                           	ALPISTE 45.36KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
017                           	ALPISTE 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
ANISDCE50                     	ANIS DULCE 10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
ANISDCEKG                     	ANIS DULCE 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
ANISESTKG                     	ANIS ESTRELLA 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418000138                 	ANIS ESTRELLA 5x12x50 G	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
ARR                           	ARROZ DE TERCERA	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V			0
ARROZP                        	ARROZ POLLITO 50KG	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V	NULL	NULL	0
ARROZS1                       	ARROZ SABORIZADO 24x1 AJO	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V			0
7592640001309                 	ARVEJA VERDE PARTIDA 24X500 Gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
ARV                           	ARVEJA VERDE PARTIDA 45.36 KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
004                           	ARVEJAS VERDES PARTIDAS 500gr UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
AVENENT                       	AVENA EN HOJUELAS ENTERA 25KG	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V	NULL	NULL	0
AVE01                         	AVENA EN HOJUELAS SACO 25kg	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V			0
AVENA30                       	AVENA EN HOJUELAS SACO 30KG	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V			0
7592640000029                 	AVENA MISS DAYMAR 12x800 gr	CER   	CEREALES	CER   	CEREALES	GEN   	GENERAL	V			0
001                           	AVENA MISS DAYMAR 200gr UNIDAD	CER   	CEREALES	CERU  	CEREALES UNIDAD	GEN   	GENERAL	V			0
7592648000012                 	AVENA MISS DAYMAR 24x400 gr	CER   	CEREALES	CER   	CEREALES	GEN   	GENERAL	V			0
002                           	AVENA MISS DAYMAR 400gr UNIDAD	CER   	CEREALES	CERU  	CEREALES UNIDAD	GEN   	GENERAL	V			0
7592640000036                 	AVENA MISS DAYMAR 48x200gr	CER   	CEREALES	CER   	CEREALES	GEN   	GENERAL	V			0
003                           	AVENA MISS DAYMAR 800gr UNIDAD	CER   	CEREALES	CERU  	CEREALES UNIDAD	GEN   	GENERAL	V			0
BOLSON                        	BOLSON PARA EMPAQUETADO	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
CANENTKG                      	CANELA ENTERA  12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418000176                 	CANELA ENTERA  5x12x50gr	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418002071                 	CANELA MOLIDA  10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
CANMOLKG                      	CANELA MOLIDA  12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
CRONA                         	CARAOTAS AMERICANAS 45.36KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
7592640001187                 	CARAOTAS BLANCAS 24X500 G	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
CBC25                         	CARAOTAS BLANCAS 25/KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
006                           	CARAOTAS BLANCAS 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
CBC                           	CARAOTAS BLANCAS SACO 50KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
7592640001156                 	CARAOTAS NEGRAS 24X500 G	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
005                           	CARAOTAS NEGRAS 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
CRON                          	CARAOTAS NEGRAS 50KL	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
7592640001378                 	CARAOTAS ROJAS 24x500 gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
007                           	CARAOTAS ROJAS 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
CRJ25                         	CARAOTAS ROJAS SACO 25KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
CRJ                           	CARAOTAS ROJAS SACO 50KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
CARGAMARITIMA                 	CARGA MARITIMA	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
CEB                           	CEBADA 24x250 GR	CER   	CEREALES	CER   	CEREALES	GEN   	GENERAL	V			0
016                           	CEBADA 250gr  UNIDAD	CER   	CEREALES	CERU  	CEREALES UNIDAD	GEN   	GENERAL	V			0
CEB20KG                       	CEBADA SACO 20KG	CER   	CEREALES	CERS  	CEREALES SACOS	GEN   	GENERAL	V			0
7592418000183                 	CLAVO DE OLOR 12X10GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418002095                 	COLOR ONOTO MOLIDO 10x12x50 G	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
COLORKG                       	COLOR ONOTO MOLIDO 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418001913                 	COLORANTE ALIMENTARIO 10X12X50GR	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
CARMENKG                      	COLORANTE ALIMENTARIO 12X1 KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
GRASURA                       	COMBO GRANOS SURTIDOS A	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V	NULL	NULL	0
GRASURB                       	COMBO GRANOS SURTIDOS B	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V	NULL	NULL	0
GRASURC                       	COMBO GRANOS SURTIDOS C	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V	NULL	NULL	0
018                           	COMBO GRANOS SURTUDOS A UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
019                           	COMBO GRANOS SURTUDOS B UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
COM                           	COMINO EN GRANO KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418002445                 	COMINO MOLIDO 10x12x50 G	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
COMIMOLKG                     	COMINO MOLIDO 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
CUBMOL                        	CUBITO MOLIDO KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
7592418001845                 	CURRY 10x12x50 G	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
CURRYKG                       	CURRY 12X1KG	Z-CON 	CONDIMENTOS	Z-CON 	CONDIMENTOS	GEN   	GENERAL	V			0
DESCARGA                      	DESCARGA	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S	NULL	NULL	0
DIFERENCIA                    	DIFERENCIA EN CAJA	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	M	NULL	NULL	0
G-001                         	FERRETERIA TENAMPA	SERV  	SERVICIO	SERV  	SERVICIO	SERV  	SERVICIO	S			0
FLETEIMP                      	FLETE Y SEGURO	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	S			0
7592640001408                 	FRIJOL BAYO  24x500 gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
FRIJOLBAY                     	FRIJOL BAYO 40 KILOS	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
009                           	FRIJOL BAYO 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
FRIJBAY50K                    	FRIJOL BAYO SACO 50 Kg	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
7592640001439                 	FRIJOL BLANCO 24X500GR	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V			0
008                           	FRIJOL BLANCO 500gr  UNIDAD	GRA   	GRANOS	GRAUNI	GRANOS UNIDAD	GEN   	GENERAL	V			0
FRIBLA50K                     	FRIJOL BLANCO SACO 50KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V			0
7592640001460                 	FRIJOL PICO NEGRO 24x500 gr	GRA   	GRANOS	GRAB  	GRANOS BULTOS	GEN   	GENERAL	V	NULL	NULL	0
FRIPN40KG                     	FRIJOL PICO NEGRO 40 KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
SACOPIC                       	FRIJOL PICO NEGRO 40 KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
FRIPN50K                      	FRIJOL PICO NEGRO 50 KG	GRA   	GRANOS	GRAS  	GRANOS SACOS	GEN   	GENERAL	V	NULL	NULL	0
.FRIPN50K                     	FRIJOL PICO NEGRO 50 KG	OTR   	OTROS	OTR   	OTROS	GEN   	GENERAL	V			0
